WORD,TOTAL SCORE,UNIQUE SCORE
arose,12215,12215
raise,11892,11892
arise,11892,11892
stare,11885,11885
saner,11585,11585
snare,11585,11585
aisle,11568,11568
steal,11561,11561
least,11561,11561
stale,11561,11561
slate,11561,11561
loser,11453,11453
store,11452,11452
scare,11264,11264
parse,11255,11255
spare,11255,11255
spear,11255,11255
aside,11163,11163
stead,11156,11156
snore,11152,11152
smear,11143,11143
stole,11128,11128
share,11114,11114
shear,11114,11114
saute,11064,11064
rouse,10956,10956
scale,10940,10940
caste,10939,10939
sepia,10937,10937
lapse,10931,10931
paste,10930,10930
yeast,10861,10861
safer,10861,10861
sedan,10856,10856
noise,10834,10834
score,10831,10831
rinse,10829,10829
resin,10829,10829
risen,10829,10829
siren,10829,10829
stone,10827,10827
onset,10827,10827
prose,10822,10822
spore,10822,10822
poser,10822,10822
stern,10822,10822
steam,10818,10818
islet,10805,10805
swear,10805,10805
solar,10792,10792
roast,10791,10791
leash,10790,10790
shale,10790,10790
haste,10789,10789
baste,10690,10690
beast,10690,10690
shore,10681,10681
horse,10681,10681
stage,10654,10654
louse,10632,10632
sober,10582,10582
steak,10571,10571
skate,10571,10571
stake,10571,10571
false,10537,10537
feast,10536,10536
spade,10526,10526
close,10507,10507
stein,10504,10504
poise,10504,10504
crest,10501,10501
spire,10499,10499
slope,10498,10498
pesto,10497,10497
arson,10491,10491
sonar,10491,10491
ashen,10489,10489
waste,10480,10480
sweat,10480,10480
stair,10468,10468
irate,10444,10444
cause,10443,10443
sauce,10443,10443
alter,10438,10438
later,10438,10438
alert,10438,10438
pause,10434,10434
slide,10401,10401
miser,10387,10387
smote,10385,10385
shade,10385,10385
sower,10372,10372
swore,10372,10372
worse,10372,10372
adore,10363,10363
shire,10358,10358
those,10356,10356
ethos,10356,10356
nurse,10326,10326
amuse,10322,10322
space,10309,10309
suite,10308,10308
erase,13309,10300
salve,10294,10294
slave,10294,10294
stave,10293,10293
sneak,10271,10271
snake,10271,10271
scone,10206,10206
abuse,10194,10194
verso,10185,10185
slice,10184,10184
spiel,10175,10175
spite,10174,10174
spelt,10168,10168
slept,10168,10168
chase,10168,10168
salon,10167,10167
snarl,10162,10162
phase,10159,10159
shape,10159,10159
usage,10158,10158
alone,10143,10143
atone,10142,10142
skier,10140,10140
learn,10138,10138
renal,10138,10138
stoke,10138,10138
opera,10137,10137
nosey,10128,10128
serif,10105,10105
snide,10100,10100
style,10099,10099
smile,10063,10063
slime,10063,10063
smite,10062,10062
smelt,10056,10056
shone,10056,10056
wiser,10049,10049
shame,10047,10047
wrest,10042,10042
aider,10040,10040
heist,10033,10033
trade,10033,10033
tread,10033,10033
curse,10005,10005
unset,10001,10001
purse,9996,9996
super,9996,9996
lease,12985,9976
easel,12985,9976
taste,11560,9975
asset,13008,9975
state,11560,9975
tease,12984,9975
speak,9941,9941
mouse,9889,9889
serum,9884,9884
since,9883,9883
scope,9876,9876
scent,9876,9876
copse,9876,9876
snipe,9874,9874
spine,9874,9874
spent,9867,9867
solve,9861,9861
stove,9860,9860
house,9860,9860
usher,9855,9855
coast,9845,9845
ascot,9845,9845
snail,9844,9844
slain,9844,9844
satin,9843,9843
saint,9843,9843
stain,9843,9843
slant,9837,9837
strap,9831,9831
alien,9820,9820
clear,9817,9817
crate,9816,9816
cater,9816,9816
react,9816,9816
trace,9816,9816
leant,9813,9813
pearl,9808,9808
paler,9808,9808
taper,9807,9807
shake,9800,9800
poesy,9798,9798
suave,9797,9797
spied,9770,9770
artsy,9762,9762
stray,9762,9762
satyr,9762,9762
rebus,9756,9756
sperm,9750,9750
relay,9739,9739
staid,9739,9739
early,9739,9739
layer,9739,9739
teary,9738,9738
anode,9738,9738
chose,9735,9735
shine,9733,9733
snort,9728,9728
surge,9720,9720
smart,9719,9719
ideal,9716,9716
dealt,9709,9709
delta,9709,9709
tenor,9704,9704
realm,9696,9696
shoal,9696,9696
tamer,9695,9695
trash,9690,9690
pulse,9672,9672
upset,9671,9671
setup,9671,9671
heart,9666,9666
hater,9666,9666
earth,9666,9666
shied,9629,9629
older,9601,9601
singe,9598,9598
boast,9596,9596
blare,9568,9568
baler,9568,9568
spice,9553,9553
riser,11454,9544
loose,11458,9543
reset,12546,9537
ester,12546,9537
terse,12546,9537
steer,12546,9537
torus,9532,9532
glare,9532,9532
regal,9532,9532
large,9532,9532
lager,9532,9532
grate,9531,9531
great,9531,9531
savor,9524,9524
shave,9522,9522
ocean,9521,9521
canoe,9521,9521
crane,9516,9516
route,9508,9508
spoke,9508,9508
outer,9508,9508
splat,9507,9507
eclat,9492,9492
cleat,9492,9492
askew,9491,9491
pleat,9483,9483
plate,9483,9483
petal,9483,9483
leapt,9483,9483
stark,9472,9472
spend,9463,9463
taker,9448,9448
salty,9438,9438
yearn,9438,9438
stand,9432,9432
sinew,9424,9424
swine,9424,9424
mason,9424,9424
screw,9421,9421
afire,9420,9420
flare,9414,9414
feral,9414,9414
after,9413,9413
cedar,9412,9412
laden,9409,9409
chest,9405,9405
drape,9403,9403
guise,9402,9402
sport,9398,9398
smoke,9396,9396
ramen,9395,9395
guest,9395,9395
liner,9382,9382
inert,9381,9381
straw,9381,9381
inter,9381,9381
email,9378,9378
trope,9374,9374
metal,9371,9371
shalt,9366,9366
exist,9358,9358
water,9357,9357
cease,12363,9354
ratio,9350,9350
lathe,9342,9342
ready,9334,9334
story,9329,9329
fresh,9327,9327
solid,9307,9307
drone,9300,9300
dream,9291,9291
shard,9286,9286
storm,9286,9286
idler,9278,9278
fetus,9277,9277
tried,9277,9277
essay,12309,9276
whose,9276,9276
basil,9274,9274
shrew,9271,9271
blast,9267,9267
heard,9262,9262
metro,9262,9262
short,9257,9257
bleat,9243,9243
table,9243,9243
noose,11157,9242
sneer,12246,9237
other,9233,9233
masse,12266,9233
anger,9231,9231
range,9231,9231
scant,9215,9215
agile,9214,9214
sleet,12222,9213
steel,12222,9213
scrap,9210,9210
salvo,9200,9200
lance,9192,9192
clean,9192,9192
enact,9191,9191
caper,9186,9186
recap,9186,9186
spike,9185,9185
plane,9183,9183
panel,9183,9183
penal,9183,9183
ovate,9175,9175
avert,9170,9170
adobe,9168,9168
abode,9168,9168
bread,9163,9163
debar,9163,9163
beard,9163,9163
oaken,9153,9153
stalk,9148,9148
scary,9141,9141
soapy,9137,9137
nasty,9137,9137
dress,12166,9133
raspy,9132,9132
spray,9132,9132
alike,9131,9131
grade,9127,9127
scald,9112,9112
repay,9108,9108
payer,9108,9108
scorn,9107,9107
abase,11453,9105
scram,9098,9098
fetal,9089,9089
stoic,9089,9089
shove,9089,9089
decal,9088,9088
swept,9087,9087
cadet,9087,9087
crone,9083,9083
spoil,9081,9081
posit,9080,9080
cameo,9079,9079
pedal,9079,9079
plead,9079,9079
adept,9078,9078
anime,9077,9077
strip,9075,9075
cream,9074,9074
chaos,9074,9074
prone,9074,9074
meant,9070,9070
crash,9069,9069
waist,9063,9063
relic,9061,9061
trice,9060,9060
sharp,9060,9060
sugar,9059,9059
inlet,9057,9057
peril,9052,9052
plier,9052,9052
tripe,9051,9051
reach,9045,9045
drake,9044,9044
sheik,9044,9044
surer,10951,9041
reuse,12050,9041
daisy,9040,9040
stork,9039,9039
argue,9035,9035
sadly,9034,9034
bused,9027,9027
trial,9021,9021
trail,9021,9021
delay,9010,9010
frost,9004,9004
flesh,9003,9003
shelf,9003,9003
acute,8995,8995
relax,8992,8992
extra,8991,8991
forte,8980,8980
credo,8979,8979
decor,8979,8979
diner,8977,8977
olden,8976,8976
basin,8973,8973
media,8973,8973
trend,8970,8970
moist,8968,8968
medal,8967,8967
shorn,8957,8957
tilde,8953,8953
worst,8948,8948
marsh,8948,8948
welsh,8947,8947
radio,8946,8946
brace,8946,8946
hoist,8939,8939
merit,8939,8939
remit,8939,8939
timer,8939,8939
motel,8938,8938
death,8937,8937
shirt,8934,8934
heron,8933,8933
sloth,8933,8933
slang,8931,8931
angst,8930,8930
lower,8925,8925
grasp,8925,8925
harem,8924,8924
tower,8924,8924
wrote,8924,8924
cress,11949,8916
scree,11925,8916
posse,11945,8912
tense,11921,8912
scour,8911,8911
their,8910,8910
grace,8910,8910
hotel,8909,8909
snout,8907,8907
angle,8907,8907
spree,11916,8907
angel,8907,8907
press,11940,8907
glean,8907,8907
agent,8906,8906
grape,8901,8901
clasp,8886,8886
scalp,8886,8886
urine,8885,8885
lasso,11915,8882
toast,10466,8881
start,10461,8876
vista,8876,8876
raven,8870,8870
place,8862,8862
utile,8861,8861
alive,8853,8853
terra,10762,8852
eater,11861,8852
treat,10437,8852
stank,8847,8847
valet,8846,8846
haute,8845,8845
abide,8845,8845
spark,8842,8842
blade,8839,8839
abled,8839,8839
borne,8834,8834
gayer,8832,8832
horde,8829,8829
creak,8827,8827
amber,8825,8825
ankle,8824,8824
taken,8823,8823
brash,8820,8820
scaly,8817,8817
scarf,8816,8816
tribe,8811,8811
palsy,8808,8808
steed,11817,8808
patsy,8807,8807
pasty,8807,8807
glade,8803,8803
moose,10715,8800
goner,8798,8798
rehab,8796,8796
omega,8794,8794
farce,8792,8792
gamer,8789,8789
scion,8789,8789
sonic,8789,8789
dance,8787,8787
tiger,8775,8775
quest,8769,8769
visor,8768,8768
sheer,11775,8766
psalm,8765,8765
stamp,8764,8764
nicer,8760,8760
clone,8759,8759
opine,8756,8756
spilt,8751,8751
split,8751,8751
ripen,8751,8751
camel,8750,8750
clash,8745,8745
maple,8741,8741
ample,8741,8741
lover,8738,8738
voter,8737,8737
overt,8737,8737
trove,8737,8737
sandy,8733,8733
coral,8723,8723
issue,11756,8723
carol,8723,8723
actor,8722,8722
leach,8721,8721
train,8720,8720
teach,8720,8720
cheat,8720,8720
talon,8719,8719
tonal,8719,8719
skirt,8716,8716
polar,8714,8714
noisy,8711,8711
maker,8706,8706
stony,8704,8704
shark,8701,8701
foist,8686,8686
disco,8685,8685
first,8681,8681
scold,8679,8679
entry,8675,8675
mealy,8672,8672
obese,11681,8672
meaty,8671,8671
frame,8671,8671
matey,8671,8671
exalt,8667,8667
amend,8666,8666
hasty,8666,8666
barge,8661,8661
flier,8658,8658
filer,8658,8658
rifle,8658,8658
weary,8658,8658
refit,8657,8657
cried,8656,8656
cider,8656,8656
basic,8652,8652
zesty,8648,8648
sworn,8648,8648
pried,8647,8647
pride,8647,8647
royal,8645,8645
depot,8645,8645
adorn,8639,8639
miner,8639,8639
swarm,8639,8639
melon,8638,8638
lemon,8638,8638
goose,10551,8636
swirl,8626,8626
wrist,8625,8625
owner,8624,8624
cable,8622,8622
triad,8616,8616
chore,8612,8612
rogue,8602,8602
rouge,8602,8602
molar,8602,8602
moral,8602,8602
write,8601,8601
towel,8600,8600
locus,8587,8587
lithe,8586,8586
scout,8586,8586
spell,10169,8583
sleep,11592,8583
steep,11591,8582
crust,8581,8581
break,8578,8578
baker,8578,8578
brake,8578,8578
spout,8577,8577
slurp,8573,8573
spurt,8572,8572
pecan,8561,8561
untie,8560,8560
unite,8560,8560
cruel,8558,8558
ulcer,8558,8558
recut,8557,8557
truce,8557,8557
speck,8557,8557
stall,10138,8552
naive,8552,8552
arena,10900,8552
crave,8549,8549
carve,8549,8549
erupt,8548,8548
navel,8546,8546
sword,8544,8544
bison,8540,8540
model,8534,8534
elate,11537,8528
latte,10113,8528
slack,8527,8527
stack,8526,8526
ultra,8518,8518
testy,10098,8513
brine,8511,8511
noble,8510,8510
lousy,8509,8509
dense,11517,8508
pansy,8507,8507
surly,8504,8504
probe,8504,8504
rusty,8503,8503
sound,8503,8503
amble,8501,8501
blame,8501,8501
savoy,8500,8500
sigma,8495,8495
homer,8491,8491
azure,8491,8491
pesky,8479,8479
reign,8475,8475
labor,8474,8474
under,8474,8474
abort,8473,8473
image,8471,8471
bathe,8471,8471
smell,10057,8471
fecal,8468,8468
grope,8468,8468
facet,8467,8467
gleam,8465,8465
sewer,11466,8457
crisp,8454,8454
wager,8451,8451
dread,9629,8448
roost,10358,8443
torso,10358,8443
shell,10028,8442
these,11450,8441
sheet,11450,8441
lemur,8437,8437
shout,8436,8436
south,8436,8436
price,8430,8430
inept,8426,8426
leaky,8425,8425
freak,8424,8424
crept,8423,8423
acorn,8422,8422
olive,8420,8420
knead,8419,8419
otter,10004,8419
retro,10329,8419
ensue,11425,8416
liver,8415,8415
rivet,8414,8414
apron,8413,8413
bride,8407,8407
octal,8398,8398
patio,8395,8395
ombre,8392,8392
token,8390,8390
leafy,8390,8390
tapir,8390,8390
decay,8388,8388
poker,8385,8385
awoke,8373,8373
dirge,8371,8371
ridge,8371,8371
lodge,8370,8370
wreak,8368,8368
craze,8366,8366
force,8359,8359
infer,8357,8357
finer,8357,8357
felon,8356,8356
often,8355,8355
value,8350,8350
flame,8347,8347
reply,8346,8346
rayon,8344,8344
bless,11376,8343
beset,11351,8342
hyena,8342,8342
flash,8342,8342
shaft,8341,8341
bagel,8337,8337
begat,8336,8336
wafer,8333,8333
drove,8333,8333
prism,8333,8333
filet,8333,8333
